0.0 5.0 1.0
Cubic 3 explicit
 0.000000 0.44999999999999996 -6.938893903907228E-18 -5.204170427930421E-18
 0.200000 0.449068141600366 -2.5153490401663703E-17 0.0067708067131561
 0.400000 0.4462476736540661 1.448494102440634E-16 0.02772694290035535
 0.600000 0.44100753001709597 5.273559366969494E-16 0.06006833381021514
 0.800000 0.4327491102358072 9.861902960928148E-16 0.09977484172326767
 1.000000 0.42141338013472757 1.515280956265741E-15 0.14165275814756484
 1.200000 0.40775731364981826 3.078266808120844E-15 0.180386320060497
 1.400000 0.3927337394185627 2.3592239273284576E-15 0.21299701775923569
 1.600000 0.3769596649881437 2.4641746976250545E-15 0.23937803609691333
 1.800000 0.3607886613096775 2.6818824938601438E-15 0.26044895566948173
 2.000000 0.34450081236092317 2.6489227478165844E-15 0.2774430333767918
 2.200000 0.3285040242953936 2.8787736083835114E-15 0.29155789259256437
 2.400000 0.31343963665226976 3.0227556568895864E-15 0.3031009248138056
 2.600000 0.29978715543855633 3.2768926461201886E-15 0.3122841180783803
 2.800000 0.28773051049830106 3.3835781398927622E-15 0.31947712272550094
 3.000000 0.2771377070821127 3.3861802251067274E-15 0.32515950940910165
 3.200000 0.26769696521305414 3.507610868425104E-15 0.329856067152018
 3.400000 0.25939193359543505 3.475518484119533E-15 0.3339508409821925
 3.600000 0.2522341018723551 3.41740524767431E-15 0.3376840962444146
 3.800000 0.24614483231458048 3.3341385208274232E-15 0.34118990017619294
 4.000000 0.24095696558431617 3.366230905132994E-15 0.3445038213774527
 4.200000 0.23645948962450108 3.4677122284776374E-15 0.3475979186538605
 4.400000 0.23253127669037893 3.518886571018953E-15 0.3504875174917441
 4.600000 0.2290892122428918 3.46077333457373E-15 0.3531986620318538
 4.800000 0.22606211648732857 3.5431726996826285E-15 0.3557520511833554
 5.000000 0.22338928765982513 3.574397722250211E-15 0.3581643567893653
